Current simulation time: 0.100179s, Completed flows: 1574
Current simulation time: 0.10031s, Completed flows: 2855
Current simulation time: 0.100437s, Completed flows: 4120
Current simulation time: 0.10055s, Completed flows: 5213
Current simulation time: 0.100657s, Completed flows: 6222
Current simulation time: 0.100758s, Completed flows: 7220
Current simulation time: 0.100858s, Completed flows: 8205
Current simulation time: 0.100961s, Completed flows: 9145
Current simulation time: 0.101064s, Completed flows: 10162
Current simulation time: 0.101172s, Completed flows: 11194
Current simulation time: 0.101286s, Completed flows: 12374
Current simulation time: 0.101408s, Completed flows: 13563
Current simulation time: 0.101528s, Completed flows: 14735
Current simulation time: 0.101644s, Completed flows: 15840
Current simulation time: 0.101765s, Completed flows: 17025
Current simulation time: 0.101885s, Completed flows: 18160
Current simulation time: 0.102009s, Completed flows: 19416
Current simulation time: 0.102128s, Completed flows: 20554
