Current simulation time: 0.100244s, Completed flows: 210
Current simulation time: 0.100387s, Completed flows: 334
Current simulation time: 0.100518s, Completed flows: 457
Current simulation time: 0.100643s, Completed flows: 584
Current simulation time: 0.100763s, Completed flows: 696
Current simulation time: 0.10087s, Completed flows: 806
Current simulation time: 0.100981s, Completed flows: 899
Current simulation time: 0.101087s, Completed flows: 990
Current simulation time: 0.101187s, Completed flows: 1093
Current simulation time: 0.101289s, Completed flows: 1200
Current simulation time: 0.101389s, Completed flows: 1293
Current simulation time: 0.101487s, Completed flows: 1387
Current simulation time: 0.101585s, Completed flows: 1491
Current simulation time: 0.101682s, Completed flows: 1593
Current simulation time: 0.101778s, Completed flows: 1706
Current simulation time: 0.10187s, Completed flows: 1808
