Current simulation time: 0.100846s, Completed flows: 238
Current simulation time: 0.101423s, Completed flows: 406
Current simulation time: 0.102044s, Completed flows: 572
Current simulation time: 0.102721s, Completed flows: 745
Current simulation time: 0.103516s, Completed flows: 928
Current simulation time: 0.104563s, Completed flows: 1171
Current simulation time: 0.106191s, Completed flows: 1486
Current simulation time: 0.108378s, Completed flows: 1916
Current simulation time: 0.115424s, Completed flows: 2238
Current simulation time: 0.133473s, Completed flows: 2299
Current simulation time: 0.15177s, Completed flows: 2336
Current simulation time: 0.170039s, Completed flows: 2391
Current simulation time: 0.188385s, Completed flows: 2437
Current simulation time: 0.206658s, Completed flows: 2485
Current simulation time: 0.225268s, Completed flows: 2535
Current simulation time: 0.244517s, Completed flows: 2592
Current simulation time: 0.264485s, Completed flows: 2643
Current simulation time: 0.285387s, Completed flows: 2696
Current simulation time: 0.306779s, Completed flows: 2738
Current simulation time: 0.329116s, Completed flows: 2776
Current simulation time: 0.350835s, Completed flows: 2820
Current simulation time: 0.373595s, Completed flows: 2850
Current simulation time: 0.398289s, Completed flows: 2889
Current simulation time: 0.425192s, Completed flows: 2923
Current simulation time: 0.453997s, Completed flows: 2963
Current simulation time: 0.486571s, Completed flows: 2996
Current simulation time: 0.521078s, Completed flows: 3028
Current simulation time: 0.557966s, Completed flows: 3059
Current simulation time: 0.598825s, Completed flows: 3092
Current simulation time: 0.650139s, Completed flows: 3129
Current simulation time: 0.70725s, Completed flows: 3153
Current simulation time: 0.780034s, Completed flows: 3191
Current simulation time: 0.9386s, Completed flows: 3216
time: 3000000000ns
Total used time: 2045.01s, total complete flows: 3224
