Current simulation time: 0.100135s, Completed flows: 385
Current simulation time: 0.100219s, Completed flows: 653
Current simulation time: 0.100295s, Completed flows: 860
Current simulation time: 0.100363s, Completed flows: 1080
Current simulation time: 0.100429s, Completed flows: 1310
Current simulation time: 0.100493s, Completed flows: 1579
Current simulation time: 0.10056s, Completed flows: 1812
Current simulation time: 0.100629s, Completed flows: 2058
Current simulation time: 0.100702s, Completed flows: 2334
Current simulation time: 0.100775s, Completed flows: 2613
Current simulation time: 0.100852s, Completed flows: 2892
Current simulation time: 0.100935s, Completed flows: 3166
Current simulation time: 0.101026s, Completed flows: 3501
Current simulation time: 0.101138s, Completed flows: 3857
Current simulation time: 0.101259s, Completed flows: 4210
Current simulation time: 0.101386s, Completed flows: 4603
Current simulation time: 0.101516s, Completed flows: 4986
Current simulation time: 0.101663s, Completed flows: 5429
Current simulation time: 0.101847s, Completed flows: 5982
